// 圣经新译本 5000 most frequently used words
以利亚撒		79
云		79
医治		79
安息		79
随从		79
不义		79
邱		79
践踏		79
书卷		78
聚		78
尘土		78
赶出		78
弟弟		78
强暴		78
至高		78
忽然		78
箭		78
克		78
田野		78
远离		78
站立		78
不在		78
寻		78
劳碌		78
幔子		78
字		78
乐		78
将		77
飞鸟		77
大大		77
为人		77
村庄		77
作证		77
城镇		77
草场		77
西门		77
命		76
太阳		76
那样		76
美好		76
灭绝		76
眼中		76
王位		76
男人		75
撒拉		75
四周		75
突		75
力量		75
恶事		75
夜间		75
祭物		75
抽签		75
财富		75
之中		74
当时		74
一头		74
亲近		74
愿意		74
誓		74
少		74
人数		74
显明		74
救赎		74
跌倒		74
永生		74
彼拉多		74
亲族		73
自由		73
除去		73
人手		73
每一		73
释放		73
言语		73
签		73
基甸		73
年轻人		73
男		72
报		72
数		72
十八		72
打发		72
宰杀		72
多么		72
哀哭		72
痲		72
伟大		72
桌子		72
末底改		72
总		71
结果		71
安放		71
增多		71
什么事		71
背		71
称赞		71
几个		71
等到		71
厌恶		71
瘟疫		71
恨恶		71
领受		71
承认		71
黎巴嫩		71
曼		71
权柄		71
不住		70
蛇		70
十七		70
金银		70
些		70
妻		70
认为		70
走过		70
根基		70
无花果		69
恐怕		69
担当		69
妹妹		69
低		69
大马士革		69
迎接		69
享		69
诚实		69
召集		69
摇		69
嘴唇		69
居所		69
马利亚		69
活物		68
女		68
世代		68
止		68
栽种		68
快要		68
坑		68
十六		68
接待		68
颈项		68
段		68
番		68
述说		68
软弱		68
受苦		68
米拉		68
毫无		68
战士		68
舍		68
弃绝		68
蒙羞		68
圣者		68
讥笑		68
骄傲		68
登基		68
圣徒		68
各地		67
摸		67
分散		67
赫		67
背叛		67
家中		67
撕裂		67
腰		67
降下		67
有的		67
灯		67
回转		67
在位		67
羞愧		67
以赛亚书		67
跟着		66
不断		66
比利		66
靠近		66
控告		66
盛		66
薛		66
谨慎		66
吃喝		66
骑		66
外人		66
直		66
治理		66
赶走		66
谦卑		66
脂肪		66
应验		66
仰望		66
晓得		66
会堂		66
建立		65
一生		65
伸出		65
肉体		65
平原		65
纳		65
击败		65
井		65
帕		65
找		65
成就		65
膀臂		65
网罗		65
琳		65
恩惠		65
弃		65
约西亚		65
长存		65
版		64
鱼		64
荆棘		64
云彩		64
全能		64
作恶		64
远		64
戴		64
神像		64
和约		64
有罪		64
警告		64
那个		64
用来		64
相信		64
右边		64
奉献		64
柜		64
问候		64
北方		64
郊		64
得救		64
感谢		64
丰盛		63
完成		63
土地		63
衣		63
瓦		63
的哥		63
杀害		63
送给		63
占领		63
