word,count,type,freq,ln(freq),hsk
的孩,2,token,,,
带在,3,token,,,
脚上,2,token,,,
在手上,2,token,,,
在农,2,token,,,
所以那个,2,token,,,
以那,3,token,,,
人就,5,token,,,
你不会,3,token,,,
或者说,3,token,,,
说不,2,token,,,
怎么了,2,token,,,
们也,3,token,,,
端午节的,6,token,,,
端午节的时候,3,token,,,
还有最后一个习,2,token,,,
后一,3,token,,,
一个习,3,token,,,
一个习惯,2,token,,,
那个草,3,token,,,
个草,4,token,,,
很长,10,token,,,
味道很浓,3,token,,,
会把,4,token,,,
把那,3,token,,,
把那个,2,token,,,
家里的,2,token,,,
的大,6,token,,,
我那,2,token,,,
做过,2,token,,,
叫什么,3,token,,,
叫菖蒲,2,token,,,
不是一,3,token,,,
是两,2,token,,,
两三,2,token,,,
在一起的,2,token,,,
蒿子秆,3,token,,,
也用,2,token,,,
上别的,5,token,,,
它是,4,token,,,
是这,3,token,,,
用这,3,token,,,
用这个,2,token,,,
的原因,2,token,,,
是因为,2,token,,,
因为这个,2,token,,,
的味道,2,token,,,
不好的那些,2,token,,,
个不,6,token,,,
们就不,2,token,,,
就不,6,token,,,
你家,2,token,,,
得是,2,token,,,
就是五月,2,token,,,
端午节是,3,token,,,
节是,4,token,,,
是农,4,token,,,
是农历,3,token,,,
是农历五月初五,2,token,,,
农历五月初五,10,token,,,
五月初五,12,token,,,
初五,13,token,,,
般就是,2,token,,,
会有很多,2,token,,,
知道吗,2,token,,,
的一,7,token,,,
的一个,4,token,,,
有的地方,4,token,,,
会把这,2,token,,,
把这,4,token,,,
在身,2,token,,,
身上,2,token,,,
对不对,17,token,,,
这个人,5,token,,,
我听,2,token,,,
说过,2,token,,,
喝雄黄酒,3,token,,,
哪一,2,token,,,
里面说到了,2,token,,,
到了吗,2,token,,,
新白娘子传奇,2,token,,,
白娘子,3,token,,,
白蛇,7,token,,,
我们以前,2,token,,,
过这个,2,token,,,
白蛇娘娘,2,token,,,
一年,2,token,,,
过端午节,8,token,,,
过端午节的,3,token,,,
过端午节的时候,2,token,,,
她的丈夫许仙,2,token,,,
喝了,2,token,,,
就会,3,token,,,
变成蛇,2,token,,,
所以后来,3,token,,,
吓死了,2,token,,,
死了,5,token,,,
果大家,2,token,,,
故事的,2,token,,,
可以去,2,token,,,
差不多是,2,token,,,
前做,2,token,,,
也可以,2,token,,,
视剧,2,token,,,
那一,2,token,,,
开始讲,2,token,,,
是中,18,token,,,
是中国,12,token,,,
是中国民间的传统节日,6,token,,,
中国民间的传统节日—,6,token,,,
国民间的传统节日——,6,token,,,
民间的,12,token,,,
民间的传,9,token,,,
民间的传统节日,8,token,,,
民间的传统节日——端,6,token,,,
间的,15,token,,,
间的传统节日——端午,6,token,,,
的传,17,token,,,
的传统,16,token,,,
的传统节日,13,token,,,
的传统节日——端午节,6,token,,,
传统节日,16,token,,,
—,12,token,,,
个日,2,token,,,
世界上,4,token,,,
世界上别的,3,token,,,
世界上别的国家,2,token,,,
界上,5,token,,,
界上别的,4,token,,,
界上别的国家,3,token,,,
别的国家,7,token,,,
的国,19,token,,,
的国家,18,token,,,
国家是,4,token,,,
是一样,5,token,,,
还有一个,3,token,,,
比如说,21,token,,,
是六月十六号,2,token,,,
六,5,unknown,,,
六月十六号,3,token,,,
所有的,2,token,,,
一个记录时间的日历,2,token,,,
的日,7,token,,,
的日历,3,token,,,
叫农历,3,token,,,
来这,2,token,,,
给农民,2,token,,,
以叫,3,token,,,
以叫农历,2,token,,,
知道什么,2,token,,,
什么时,6,token,,,
什么时候,5,token,,,
么时,7,token,,,
么时候,6,token,,,
种田了,2,token,,,
然后什么时候,2,token,,,
等等等,2,token,,,
所以是,4,token,,,
是个,4,token,,,
个农,2,token,,,
农民看的,2,token,,,
是给,2,token,,,
然后这,3,token,,,
所以可,4,token,,,
所以可以,3,token,,,
可以叫,2,token,,,
人的,7,token,,,
人的生日,2,token,,,
的生,10,token,,,
的生日,7,token,,,
用农历,2,token,,,
现在的,3,token,,,
家用,2,token,,,
用的,3,token,,,
我的生,2,token,,,
是阴历的,2,token,,,
阴历的,3,token,,,
历的,6,token,,,
日都,2,token,,,
有很多的,4,token,,,
的中,2,token,,,
人后,3,token,,,
比如说你,3,token,,,
说你,6,token,,,
生日是,3,token,,,
是什么,5,token,,,
是什么时,2,token,,,
如果你,8,token,,,
如果你告诉他是九月一,2,token,,,
告诉他,3,token,,,
他是,9,token,,,
是九,6,token,,,
是九月一,3,token,,,
九,7,unknown,,,
九月一,7,token,,,
月一,8,token,,,
号的,4,token,,,
他就,4,token,,,
九月一号,6,token,,,
九月一号的时候,2,token,,,
月一号,7,token,,,
的时候说,3,token,,,
他的,12,token,,,
他的生日,2,token,,,
是九月一号,2,token,,,
农历的,3,token,,,
农历的九月一号,2,token,,,
就是很多,2,token,,,
是很多,3,token,,,
国家是不用,2,token,,,
所以他,12,token,,,
他不,4,token,,,
会问,2,token,,,
一个中国人,2,token,,,
个中国人,3,token,,,
你的生日是几月几号,2,token,,,
月五号,2,token,,,
五号,3,token,,,
家会,2,token,,,
不是每,2,token,,,
是每,4,token,,,
用阴历,2,token,,,
日的,3,token,,,
家去,2,token,,,
那个国家,2,token,,,
个国,21,token,,,
个国家,20,token,,,
个国家是,2,token,,,
然后他,4,token,,,
跟你说,4,token,,,
是我的,2,token,,,
很多很多,5,token,,,
很多次,2,token,,,
这个叫,13,token,,,
的意,5,token,,,
的意思,4,token,,,
个民间,4,token,,,
就是中国人,2,token,,,
是中国人,5,token,,,
人过,2,token,,,
怎么说,4,token,,,
怎么说啊,3,token,,,
国的老百,2,token,,,
老百,7,token,,,
百,14,unknown,,,
姓过,2,token,,,
的节日,4,token,,,
会说,4,token,,,
端午节是一个,2,token,,,
节是一,3,token,,,
是一个,18,token,,,
是一个民间的,2,token,,,
个民间的,3,token,,,
个民间的传统节日,2,token,,,
说国庆节,2,token,,,
不会说,2,token,,,
个很有,3,token,,,
可能是,2,token,,,
是说很,2,token,,,
说很,4,token,,,
很早,4,token,,,
前的,7,token,,,
前的人,4,token,,,
开始做,2,token,,,
后来的人,2,token,,,
来的,6,token,,,
的人也在做的,2,token,,,
这样的,3,token,,,
叫民,2,token,,,
很长时间,2,token,,,
历史的,2,token,,,
所以就是,2,token,,,
是传统,4,token,,,
是传统的,2,token,,,
传统的,5,token,,,
很久很久以前,2,token,,,
久很久以前,3,token,,,
久很久以前就开始,2,token,,,
很久以前,5,token,,,
就开始,5,token,,,
做这,4,token,,,
做这个,2,token,,,
这个事情,2,token,,,
现在的人,2,token,,,
你可以说,5,token,,,
可以说,19,token,,,
说是,2,token,,,
因为很,2,token,,,
人就开始,3,token,,,
讲这个,2,token,,,
这个地方,2,token,,,
间有,2,token,,,
有点像,3,token,,,
这个节,3,token,,,
个节,4,token,,,
个节日,2,token,,,
已经是一个,2,token,,,
个历史,2,token,,,
历史了,2,token,,,
的衣服,2,token,,,
以前的,6,token,,,
以前的人,3,token,,,
以前的人就开始,2,token,,,
的人一,2,token,,,
人一,3,token,,,
有很多很多,3,token,,,
传统乐器,2,token,,,
的乐器,2,token,,,
很久以前的,3,token,,,
因为中国,2,token,,,
国的这,2,token,,,
所以在,7,token,,,
它是中华民族古老的传,2,token,,,
是中华民族,6,token,,,
是中华民族古老的传统,2,token,,,
中华民族古老的传统节,2,token,,,
华民族,13,token,,,
华民族古老的传统节日,2,token,,,
民族古老的传统节日之,2,token,,,
族古老的传统节日之一,2,token,,,
古老的,3,token,,,
老的,4,token,,,
的传统节日之一,3,token,,,
是哪,2,token,,,
是来自中,2,token,,,
中华民族的,5,token,,,
我也,3,token,,,
我也是,2,token,,,
是中华民族的,3,token,,,
的历史,4,token,,,
有的人他,2,token,,,
人他,3,token,,,
现在不,3,token,,,
住在,4,token,,,
住在中国,2,token,,,
在中国了,2,token,,,
国了,4,token,,,
是中华民族的一部分,2,token,,,
他们说,4,token,,,
们说,5,token,,,
是可,2,token,,,
可以说他,2,token,,,
说他,6,token,,,
他们是中华民族,2,token,,,
他们的,3,token,,,
的子孙,2,token,,,
他自,4,token,,,
他自己,3,token,,,
你知道中,2,token,,,
这个词是,2,token,,,
是谁,2,token,,,
说的,10,token,,,
一九零二年的时候说,2,token,,,
零,7,token,,,
代的,2,token,,,
说了这,2,token,,,
这个端午节,2,token,,,
是一个很,5,token,,,
一个很,6,token,,,
